TRANSNR;LOTNT;MARKS;MARKS2;REF;REF2;BAGMARK;GRADE-GR;BAGSNR;WEIGHT-Kgr;SALENO;BAGSBOUGHTNR;WEIGHTBOUGHT-Kgr;BUYERCODE;PRICE;SEATNR;AUCTCODE;STATUS;ISODATE;SEASON;VALUE
385;1230;44NG0051/MUHUGU/AA0050;44NG0051/MUHUGU/AA0050/;AA0050;AA0050;44NG0051;AB;5;318;30;5;318;62;235;62;16;2;05-Sep-17;2016-2017;1494.6
386;1231;44NG1007/BULK;44NG1007/BULK;AB;8;513;30;8;513;39;229;39;16;2;05-Sep-17;2016-2017;2349.54;;;
387;1232;46NG1011/BULK;46NG1011/BULK;AB;88;5339;30;88;5339;74;234;74;16;2;05-Sep-17;2016-2017;24986.52;;;
388;1233;46MT2004/BULK;46MT2004/BULK;AB;7;482;30;7;482;78;234;78;16;2;05-Sep-17;2016-2017;2255.76;;;
389;1234;44GS2101/BULK;44GS2101/BULK;AB;38;2324;30;38;2324;39;278;39;16;1;05-Sep-17;2016-2017;12921.44;;;
390;1235;47GS2101/BULK;47GS2101/BULK;AB;57;3459;30;57;3459;39;282;39;16;1;05-Sep-17;2016-2017;19508.76;;;
391;1236;43GS0014/KIONYO/XEA23F02;43GS0014/KIONYO/XEA23F02/;XEA23F02;XEA23F02;43GS0014;AB;11;694;30;11;694;62;283;62;16;1;05-Sep-17;2016-2017;3928.04
392;1237;46NG1012/BULK;46NG1012/BULK;AB;20;1223;30;20;1223;237;283;13;16;1;05-Sep-17;2016-2017;6922.18;;;
393;1238;46NG0040/CHANIA BRIDGE/AB0008;46NG0040/CHANIABRIDGE/AB0008/;AB0008;AB0008;46NG0040;AB;10;664;30;10;664;237;284;13;16;1;05-Sep-17;2016-2017;3771.52
394;1239;46NG0014/NDARUGU/AB0039;46NG0014/NDARUGU/AB0039/;AB0039;AB0039;46NG0014;AB;32;1932;30;32;1932;238;284;57;16;1;05-Sep-17;2016-2017;10973.76
